"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abcott Institute","16250 Northland Drive, Suite 205, Southfield, Michigan 48075-5227","www.abcott.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","60","60","70%","NA","2015-16","$18,100","Nursing Assistant/Aide and Patient Care Assistant/Aide","461892","04183300"
"Adrian College","110 S Madison St, Adrian, Michigan 49221-2575","www.adrian.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1856","1817","45%","3%","Fall 2012","$26,710","-","168528","00223400"
"Albion College","611 E Porter St, Albion, Michigan 49224","www.albion.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","1533","1533","64%","NA","Fall 2012","$17,663","-","168546","00223500"
"Alma College","614 W Superior, Alma, Michigan 48801-1599","alma.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1433","1433","64%","NA","Fall 2012","$22,830","-","168591","00223600"
"Alpena Community College","665 Johnson St, Alpena, Michigan 49707","www.alpenacc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","Yes","1429","1429","32%","22%","Fall 2012","$3,183","-","168607","00223700"
"Andrews University","4150 Administration Drive, Room 136, Berrien Springs, Michigan 49104","www.andrews.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","Town: Fringe","Yes","3407","1702","58%","26%","Fall 2012","$21,820","-","168740","00223800"
"Aquinas College","1700 Fulton St. E, Grand Rapids, Michigan 49506-1801","www.aquinas.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","1758","1578","61%","30%","Fall 2012","$18,513","-","168786","00223900"
"Baker College","1050 West Bristol Road, Flint, Michigan 48507-5508","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","9332","8974","19%","NA","Fall 2012","$12,877","-","168847","00467300"
"Baker College Center for Graduate Studies","1050 W Bristol Rd, Flint, Michigan 48507-1290","www.baker.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","","","NA","NA","Fall 2012","NA","-","16884710","00467313"
"Baker College of Allen Park","4500 Enterprise Dr, Allen Park, Michigan 48101-9600","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","","","NA","NA","Fall 2012","NA","-","16884702","00467317"
